agent,refactoring_type,count,agent_total,share_pct
Copilot,Modify Method Annotation,159,15716,1.0117078136930517
Copilot,Remove Attribute Modifier,159,15716,1.0117078136930517
Copilot,Move And Rename Method,128,15716,0.814456604734029
Copilot,Rename Class,122,15716,0.7762789513871213
Copilot,Add Class Annotation,98,15716,0.623568337999491
Copilot,Remove Class Annotation,64,15716,0.4072283023670145
Copilot,Add Thrown Exception Type,38,15716,0.24179180453041488
Copilot,Move And Rename Class,37,15716,0.23542886230593024
Copilot,Extract And Move Method,34,15716,0.21634003563247647
Copilot,Extract Class,30,15716,0.19088826673453804
Copilot,Add Attribute Modifier,28,15716,0.17816238228556885
Copilot,Change Attribute Access Modifier,27,15716,0.17179944006108425
Copilot,Parameterize Variable,27,15716,0.17179944006108425
Copilot,Pull Up Method,26,15716,0.16543649783659964
Copilot,Encapsulate Attribute,25,15716,0.15907355561211506
Copilot,Inline Method,25,15716,0.15907355561211506
Copilot,Localize Parameter,22,15716,0.13998472893866123
Copilot,Remove Variable Modifier,22,15716,0.13998472893866123
Copilot,Replace Variable With Attribute,22,15716,0.13998472893866123
Copilot,Move Code,21,15716,0.13362178671417663
Copilot,Pull Up Attribute,21,15716,0.13362178671417663
Copilot,Move Source Folder,17,15716,0.10817001781623824
Copilot,Merge Parameter,16,15716,0.10180707559175363
Copilot,Add Method Modifier,15,15716,0.09544413336726902
Copilot,Remove Parameter Annotation,14,15716,0.08908119114278443
Copilot,Change Thrown Exception Type,13,15716,0.08271824891829982
Copilot,Add Variable Modifier,12,15716,0.07635530669381523
Copilot,Add Class Modifier,11,15716,0.06999236446933062
Copilot,Extract Attribute,9,15716,0.057266480020361415
Copilot,Remove Method Modifier,9,15716,0.057266480020361415
Copilot,Change Class Access Modifier,8,15716,0.050903537795876815
Copilot,Collapse Hierarchy,8,15716,0.050903537795876815
Copilot,Move And Inline Method,8,15716,0.050903537795876815
Copilot,Merge Class,7,15716,0.044540595571392214
Copilot,Split Class,7,15716,0.044540595571392214
Copilot,Replace Generic With Diamond,6,15716,0.03817765334690761
Copilot,Split Conditional,6,15716,0.03817765334690761
Copilot,Change Type Declaration Kind,5,15716,0.03181471112242301
Copilot,Extract Superclass,4,15716,0.025451768897938407
Copilot,Parameterize Attribute,4,15716,0.025451768897938407
Copilot,Split Attribute,4,15716,0.025451768897938407
Copilot,Split Variable,4,15716,0.025451768897938407
Copilot,Invert Condition,3,15716,0.019088826673453806
Copilot,Move Package,3,15716,0.019088826673453806
Copilot,Replace Anonymous With Class,3,15716,0.019088826673453806
Copilot,Split Parameter,3,15716,0.019088826673453806
Copilot,Add Parameter Modifier,2,15716,0.012725884448969204
Copilot,Remove Class Modifier,2,15716,0.012725884448969204
Copilot,Replace Anonymous With Lambda,2,15716,0.012725884448969204
Copilot,Replace Attribute With Variable,2,15716,0.012725884448969204
Copilot,Split Method,2,15716,0.012725884448969204
Copilot,Try With Resources,2,15716,0.012725884448969204
Copilot,Extract Interface,1,15716,0.006362942224484602
Copilot,Merge Conditional,1,15716,0.006362942224484602
Copilot,Merge Package,1,15716,0.006362942224484602
Copilot,Merge Variable,1,15716,0.006362942224484602
Copilot,Modify Parameter Annotation,1,15716,0.006362942224484602
Copilot,Move And Rename Attribute,1,15716,0.006362942224484602
Copilot,Replace Conditional With Ternary,1,15716,0.006362942224484602
Cursor,Extract Method,9,31,29.03225806451613
Cursor,Extract And Move Method,5,31,16.129032258064516
Cursor,Parameterize Variable,5,31,16.129032258064516
Cursor,Add Method Annotation,3,31,9.67741935483871
Cursor,Encapsulate Attribute,2,31,6.451612903225806
Cursor,Remove Method Annotation,2,31,6.451612903225806
Cursor,Change Attribute Type,1,31,3.225806451612903
Cursor,Extract Variable,1,31,3.225806451612903
Cursor,Inline Variable,1,31,3.225806451612903
Cursor,Remove Thrown Exception Type,1,31,3.225806451612903
Cursor,Rename Method,1,31,3.225806451612903
Devin,Add Attribute Annotation,23,70,32.857142857142854
Devin,Remove Attribute Annotation,23,70,32.857142857142854
Devin,Extract Method,9,70,12.857142857142856
Devin,Merge Conditional,8,70,11.428571428571429
Devin,Rename Variable,5,70,7.142857142857142
Devin,Invert Condition,2,70,2.857142857142857
Human,Move Class,744,11659,6.381336306715841
Human,Change Attribute Access Modifier,730,11659,6.2612573977185
Human,Extract Method,594,11659,5.094776567458616
Human,Rename Method,537,11659,4.60588386654087
Human,Change Parameter Type,511,11659,4.382880178402951
Human,Change Method Access Modifier,507,11659,4.348571918689424
Human,Change Return Type,461,11659,3.954026931983875
Human,Add Method Annotation,419,11659,3.5937902049918513
Human,Change Attribute Type,402,11659,3.4479801012093665
Human,Add Parameter,398,11659,3.4136718414958405
Human,Change Variable Type,391,11659,3.35363238699717
Human,Add Attribute Modifier,384,11659,3.293592932498499
Human,Extract Variable,347,11659,2.9762415301483833
Human,Rename Attribute,343,11659,2.9419332704348573
Human,Rename Parameter,317,11659,2.718929582296938
Human,Extract And Move Method,289,11659,2.4787717643022558
Human,Rename Variable,253,11659,2.1699974268805216
Human,Move Method,245,11659,2.1013809074534695
Human,Add Method Modifier,236,11659,2.024187323098036
Human,Remove Parameter,203,11659,1.7411441804614463
Human,Move Attribute,198,11659,1.6982588558195386
Human,Rename Class,181,11659,1.552448752037053
Human,Add Parameter Modifier,176,11659,1.5095634273951453
Human,Add Parameter Annotation,149,11659,1.2779826743288447
Human,Pull Up Method,142,11659,1.2179432198301743
Human,Inline Variable,135,11659,1.1579037653315036
Human,Add Attribute Annotation,124,11659,1.063556051119307
Human,Remove Method Annotation,124,11659,1.063556051119307
Human,Move And Rename Method,110,11659,0.9434771421219658
Human,Change Class Access Modifier,105,11659,0.9005918174800583
Human,Remove Attribute Modifier,97,11659,0.8319752980530063
Human,Add Variable Modifier,96,11659,0.8233982331246248
Human,Move And Rename Class,95,11659,0.8148211681962432
Human,Pull Up Attribute,93,11659,0.7976670383394802
Human,Encapsulate Attribute,92,11659,0.7890899734110988
Human,Extract Class,73,11659,0.62612573977185
Human,Add Class Modifier,72,11659,0.6175486748434685
